"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: du";"Det =: un-de Dnum Nmes";"N0 être d'un certain N";"N0 être de Det N Modif";"N0 être de N Modif";"il y avoir Det N Loc N0";"N0 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8"
"157";"étendue";"-";"+";"+";"+";"+";"+";"-";"-";"-";"~";"~";"Cette plaine est d'un étendue de 2 km2";"~";"Ce jardin a de l'étendue";"Cette plaine a une étendue de 2 km2";"~";"~";"~";"~"
"158";"éthique";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Cette action a une éthique douteuse";"~";"Cette action est d'une éthique douteuse";"~";"~";"~";"~";"~";"~";"~"
"159";"étoffe";"+";"-";"+";"+";"+";"+";"+";"-";"+";"~";"~";"~";"~";"Max a de l'étoffe";"~";"Max a eu l'étoffe de résister à la mode";"~";"~";"~"
"160";"étymologie";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"161";"existence";"+";"+";"-";"-";"-";"+";"+";"-";"-";"Cette étoile a eu une existence il y a 3 millions d'années";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"162";"expression";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"Max est d'expression française";"~";"~";"~";"~";"~";"~"
"163";"extension";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Cette langue+Le commerce) a ici une grande extension";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"164";"extérieur";"+";"+";"-";"-";"-";"+";"+";"-";"-";"Cette maison a un extérieur coquet";"~";"~";"~";"~";"~";"~";"~";"~";"GN=:[L'extérieur de la ville]"
"165";"facture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce meuble a une facture ancienne";"~";"Ce meuble est d'une facteur ancienne";"~";"~";"~";"~";"~";"~";"~"
"166";"finalité";"+";"+";"-";"-";"-";"+";"+";"+";"-";"Ce comportement a une finalité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"167";"fini";"-";"+";"+";"-";"-";"+";"-";"+";"-";"Ce travail a un fini remarquable";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"168";"fondu";"-";"+";"-";"-";"-";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"169";"force";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"170";"forfanterie";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"171";"format";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"172";"forme";"+";"-";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"173";"forme";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"174";"frappe";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"175";"fréquence";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"176";"fumet";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"177";"gabarit";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Le camion+Max) a un gabarit (*E+important)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"178";"galbe";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce vase a une galbe (*E+élégant)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"179";"genre";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Cette chaise a un genre (E+inhabituel)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"180";"géographie";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"181";"géométrie";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce jardin a une géométrie (?E+à la bien française)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"182";"goût";"-";"+";"+";"-";"+";"+";"+";"+";"-";"Ce mot a un goût (*E+délicieux)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"183";"goût";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"Ce décor (*a un+est d'un) goût (*E+douteux)";"~";"~";"~";"~";"~";"~";"~"
"184";"grade";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a un grade (?E+élevé)";"~";"Max est d'un grade élevé";"~";"~";"~";"~";"~";"~";"~"
"185";"grain";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce papier a un grain (*E+fin)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"186";"grammaire";"-";"+";"-";"-";"-";"+";"+";"-";"-";"Cette phrase a une grammaire (*E+parfaite)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"187";"graphie";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Ce manuscrit a une (*E+belle) graphie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"188";"graphisme";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce dessin a un graphisme (*E+élégant)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"189";"hébétude";"+";"-";"+";"-";"-";"+";"-";"-";"-";"Max a une certaine hébétude";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"190";"hérésie";"+";"+";"-";"-";"+";"+";"-";"+";"+";"(Les propos de Max ont+Max a) une certaine hérésie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"191";"humeur";"+";"-";"-";"-";"-";"+";"+";"+";"+";"Max a une (*E+joyeux) humeur";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"192";"humeur";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"Max a de l'humeur";"~";"~";"~";"~";"~"
"193";"identité";"+";"+";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"194";"impéritie";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine impéritie";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"195";"inanité";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce texte a une certaine inanité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"196";"inconfort";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce lit a un certain inconfort";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"197";"individualité";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une individualité (E+incertaine)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"198";"infatuation";"+";"-";"+";"-";"+";"+";"-";"-";"+";"Max a une certaine infatuation";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"199";"inspiration";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"Ce trio est d'inspiration mozartienne";"~";"~";"~";"~";"~";"~"
"200";"inspiration";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"Max a de l'inspiration";"~";"~";"~";"~";"~"
"201";"instinct";"+";"-";"+";"-";"-";"+";"-";"-";"+";"Max a un certain instinct";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"202";"issue";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"203";"libertinage";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certain libertinage";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"204";"licence";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Les moeurs ont une certaine licence";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"205";"lignage";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a un (E+grand) lignage";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"206";"longanimité";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une certaine longanimité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"207";"lustre";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Cette fête a un certain lustre";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"208";"maestria";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"209";"mansuétude";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Max a une certaine mansuétude";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"210";"marque";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce produit a une marque";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"211";"masse";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Cet objet a une masse de 50 kg";"~";"~";"~";"~"
"212";"matière";"-";"+";"-";"-";"+";"+";"-";"-";"-";"(Ce tissu+Ce vêtement) a une (*E+belle) matière";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"213";"mécanique";"-";"+";"-";"-";"-";"+";"-";"+";"-";"Ce comportement a une mécanique";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"214";"mentalité";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Max+Ce pays) a une mentalité (*E+archaïque)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"215";"mérite";"+";"+";"+";"-";"+";"+";"-";"-";"+";"Max a un certain mérite";"~";"~";"~";"Max a du mérite";"~";"~";"~";"~";"~"
"216";"métier";"-";"+";"+";"-";"-";"+";"-";"+";"-";"(Max+Cet objet) a un métier (*E+prodigieux)";"~";"(Max+Cet objet) est d'un métier (*E+prodigieux)";"~";"~";"~";"~";"~";"~";"~"
"217";"millésime";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce vin a un millésime";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"218";"mine";"+";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"219";"moeurs";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"220";"montant";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"221";"moral";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"222";"morale";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"223";"mordant";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"224";"mutisme";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a un certain mutisme";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"225";"nationalité";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a une nationalité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"226";"nature";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Max+Cet objet) a une certaine nature";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"227";"négligé";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a un négligé (*E+élégant)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"228";"niveau";"+";"+";"-";"+";"+";"+";"+";"-";"-";"L'eau a un niveau (*E+de 50 mètres)";"~";"~";"~";"~";"L'eau a un niveau de 50 mètres";"~";"~";"~";"~"
"229";"niveau";"+";"+";"-";"-";"+";"+";"+";"-";"-";"(Max+Cette discipline) a un (*E+bon) niveau";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"230";"notoriété";"+";"+";"+";"-";"+";"+";"+";"-";"-";"Max a une certaine notoriété";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"231";"nuance";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Cette teinte a une nuance (*E+ratinée)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"232";"obédience";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"Ce pays est d'obédience communiste";"~";"~";"~";"~";"~";"~"
"233";"odeur";"-";"+";"-";"-";"+";"+";"+";"-";"-";"Ce fruit a une odeur";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"234";"onction";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une certaine onction";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"235";"ordonnance";"-";"+";"+";"-";"+";"+";"-";"+";"-";"Le repas a une certaine ordonnance";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"236";"ordre";"+";"-";"+";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"Max a de l'ordre";"~";"~";"~";"~";"~"
"237";"ordre";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"Cet objet est d'un ordre (*E+ancien)";"~";"~";"~";"~";"~";"~";"~"
"238";"organisation";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Ce bureau a une organisation (*E+bizarre)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"239";"origine";"+";"+";"-";"-";"+";"+";"-";"-";"-";"(Max+Cet objet) a une origine (*E+illustre)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"240";"orthographe";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce texte a une orthographe (*E+douteuse)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"241";"parfum";"-";"+";"+";"-";"-";"+";"-";"-";"-";"Ce fruit a un parfum (?E+agréable)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"242";"pâte";"+";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"(Max+Ce travail) est d'une pâte (*E+admirable)";"~";"~";"~";"~";"~";"~";"~"
"243";"pathos";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Cette chanson a un certain pathos";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"244";"pénétration";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une pénétration (d'esprit) incroyable";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"245";"pérennité";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Cette loi a une certaine pérennité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"246";"périmètre";"-";"+";"-";"+";"+";"+";"-";"-";"-";"Cette figure a un périmètre";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"247";"personnalité";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"248";"personnalité";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"249";"pesanteur";"+";"+";"-";"-";"+";"+";"-";"-";"-";"(Max+Ce corps) a une certaine pesanteur";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"250";"phrasé";"-";"+";"-";"-";"+";"+";"-";"+";"-";"(Ce passage+Le jeu de Max) a un phrasé (délicat+rigoureux)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"251";"physionomie";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a une physionomie (*E+agréable)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"252";"physique";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a un certain physique";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"253";"piquant";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"Ce discours a du piquant";"~";"~";"~";"~";"~"
"254";"plastique";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine plastique";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"255";"pluralité";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Les choses ont une pluralité prodigieuse";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"256";"pluviosité";"-";"+";"-";"+";"+";"+";"+";"+";"-";"Cet climat a une certaine pluviosité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"257";"pochardise";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Max a une certaine pochardise";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"258";"poids";"+";"+";"+";"-";"+";"+";"-";"-";"-";"(Cet argument+Max) a un certain poids";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"259";"poli";"-";"+";"+";"-";"+";"-";"-";"-";"-";"Ce marbre a un poli (*E+magnifique)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"260";"port";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Cette rose a un port (*E+élégant)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"261";"portance";"-";"+";"-";"+";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"Cette aile d'avion a une portance de n unité";"~";"~";"~";"~"
"262";"portée";"-";"+";"+";"-";"+";"+";"+";"-";"-";"Cette décision a une portée certaine";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"263";"présence";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une présence certaine";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"264";"pression";"-";"+";"+";"+";"+";"+";"+";"+";"-";"L'air a une pression (*E+constante)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"265";"prestance";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"Max a de la prestance";"~";"~";"~";"~";"~"
"266";"prix";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Cet objet a un prix (*E+de n francs)";"~";"~";"~";"~"
"267";"prix";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"Cet objet a du prix";"~";"~";"~";"~";"~"
"268";"probabilité";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"269";"proportion";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"Cette pièce a de belles proportions";"~";"~";"~"
"270";"punch";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"Max a du punch";"~";"~";"~";"~";"~"
"271";"qualité";"+";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"Cet article est de bonne qualité";"~";"~";"~";"~";"~";"~"
"272";"race";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Cet animal a une race indéterminée";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"273";"race";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"(Max+Cet animal) a de la race";"~";"~";"~";"~";"~"
"274";"rang";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a un certain rang (E+dans la société)";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"275";"recherche";"-";"+";"-";"-";"+";"+";"-";"+";"-";"Cette tenue a une certaine recherche";"~";"~";"~";"~";"~";"~";"~";"Cette tenue est recherchée";"~"
"276";"rectitude";"+";"-";"+";"-";"+";"+";"-";"+";"+";"Max a une certaine rectitude";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"277";"registre";"-";"+";"-";"-";"+";"+";"+";"-";"-";"(Cet instrument+Le musicien) a un registre étendu";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"278";"relief";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"279";"religion";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a une certaine religion";"~";"~";"Max est de religion chrétienne";"~";"~";"~";"~";"~";"~"
"280";"religion";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"Max a de la religion";"~";"~";"~";"Max est religieux";"~"
"281";"rendement";"-";"+";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"Ce placement a un rendement de n %";"~";"~";"~";"~"
"282";"renom";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Cette région a un grand renom";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"283";"renommée";"+";"+";"-";"-";"+";"+";"+";"-";"-";"Ce produit a une certaine renommée";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"284";"réputation";"+";"+";"-";"-";"+";"+";"+";"-";"+";"(Ce vin+Max) a une réputation excellente";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"285";"réserve";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Max a une certaine réserve";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"286";"résonance";"-";"+";"+";"-";"+";"+";"+";"-";"-";"Ce mot a une certaine résonance";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"287";"ressort";"+";"-";"+";"-";"-";"+";"-";"+";"+";"~";"~";"~";"~";"Max a du ressort";"~";"~";"~";"~";"~"
"288";"ressource";"+";"-";"+";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"Max a de la ressource";"~";"~";"~";"~";"~"
"289";"retenue";"+";"-";"+";"-";"+";"+";"-";"+";"-";"Max a une certaine retenue";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"290";"rhétorique";"+";"+";"-";"-";"+";"+";"-";"+";"-";"Ce texte a une certaine rhétorique";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"291";"rite";"-";"+";"-";"-";"-";"+";"+";"+";"-";"Cette cérémonie a un rite";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"292";"rituel";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Cette cérémonie a un rituel";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"293";"rotondité";"-";"+";"-";"-";"+";"+";"-";"-";"-";"La terre a une rotondité certaine";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"294";"rythme";"-";"+";"+";"+";"+";"+";"+";"+";"-";"Le travail a un certain rythme";"~";"~";"~";"~";"~";"~";"~";"Le travail est rythmé";"~"
"295";"sang";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max a un sang noble";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"296";"sang-froid";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"Max a du sang-froid";"~";"~";"~";"~";"~"
"297";"santé";"+";"-";"+";"-";"+";"+";"+";"-";"-";"Max a une santé excellente";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"298";"santé";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"Max a de la santé";"~";"~";"~";"~";"~"
"299";"sapidité";"-";"+";"+";"-";"+";"+";"-";"-";"-";"Ce liquide a une certaine sapidité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"300";"sapience";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a une certaine sapience";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"301";"saveur";"-";"+";"+";"-";"+";"+";"+";"+";"-";"Ce mets a une saveur agréable";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"302";"savoir";"+";"-";"-";"-";"+";"+";"-";"-";"-";"Max a un certain savoir";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"303";"science";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max a une certaine science";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"304";"sel";"-";"+";"-";"-";"+";"+";"-";"+";"-";"(Ce texte+La situation) a un certain sel";"~";"~";"~";"~";"~";"~";"~";"(Ce texte+La situation) est salé";"~"
"305";"sémantique";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Ce texte a une (certaine) sémantique";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"306";"sens";"-";"+";"+";"-";"+";"+";"+";"-";"-";"Ce mot a un sens";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"307";"senteur";"-";"+";"-";"-";"-";"+";"-";"-";"-";"Cette fleur a une senteur délicate";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"308";"sérieux";"+";"-";"+";"-";"+";"+";"-";"-";"+";"Max a un certain sérieux";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"309";"sex appeal";"+";"-";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"Léa a du sex appeal";"~";"~";"~";"~";"~"
"310";"sexe";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Cet individu a un (certain) sexe";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"311";"sexualité";"+";"-";"-";"-";"-";"+";"-";"-";"-";"Max a une sexualité standard";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"312";"son";"-";"+";"-";"-";"-";"+";"+";"-";"-";"(Cet instrument+Cette sonnerie) a un beau son";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"313";"sonorité";"-";"+";"-";"-";"+";"+";"+";"+";"-";"Cet instrument a une belle sonorité";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"314";"souffle";"+";"+";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"315";"spiritualité";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"316";"standing";"-";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"317";"stature";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"318";"stratégie";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"319";"structure";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"320";"style";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"321";"style";"+";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"322";"substance";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"323";"surface";"-";"+";"+";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"324";"surface";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"325";"suspense";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"326";"swing";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"327";"tactique";"-";"+";"+";"-";"+";"+";"+";"+";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"328";"taille";"+";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"329";"taille";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"330";"tape-à-l'oeil";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"331";"tarif";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"332";"taux";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"333";"technique";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"334";"technologie";"-";"+";"-";"-";"-";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"335";"teint";"+";"-";"-";"-";"-";"-";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
